Sale_Code,Item_number,Product,Year_Ori,Month_Ori,Year,Month,Item_Type,Sales,Sector,Hotel,Residence,Property,Growth_old,Growth
721,131940,Fabric,2013,Sep,2013,SEP,Material,21,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,79,7.9
938,131940,Fabric,2015,Dec,2015,DEC,Material,1330,Residential,,CAMELOT BY-THE-WATER,CAMELOT BY-THE-WATER,82,8.2
737,131941,Fabric,2012,Oct,2012,OCT,Material,142.5,Residential,,BELLE VUE RESIDENCES,BELLE VUE RESIDENCES,-45,-4.5
776,131941,Fabric,2013,Feb,2013,FEB,Material,568,Residential,,DUCHESS RESIDENCES,DUCHESS RESIDENCES,-54,-5.4
721,131941,Fabric,2013,Feb,2013,FEB,Material,1330,Residential,,SENTOSA COVE,SENTOSA COVE,67,6.7
721,131941,Fabric,2013,Feb,2013,FEB,Material,3325,Residential,,SENTOSA COVE,SENTOSA COVE,-40,-4
721,131941,Fabric,2013,Feb,2013,FEB,Material,3458,Residential,,SENTOSA COVE,SENTOSA COVE,83,8.3
721,131941,Fabric,2013,Feb,2013,FEB,Material,5320,Residential,,SENTOSA COVE,SENTOSA COVE,96,9.6
721,131941,Fabric,2013,Feb,2013,FEB,Material,5586,Residential,,SENTOSA COVE,SENTOSA COVE,53,5.3
721,131941,Fabric,2013,Oct,2013,OCT,Material,10.44,Hospitality,V Hotel Bencoolen,,V HOTEL BENCOOLEN,88,8.8
737,131941,Fabric,2016,Sep,2016,SEP,Material,976,Hospitality,Hard Rock Hotel,,HARD ROCK HOTEL,24,2.4
719,131942,Fabric,2011,Apr,2011,APR,Material,832,Hospitality,Sheraton Towers Singapore Hotel,,SHERATON TOWERS SINGAPORE HOTEL,5,0.5
719,131942,Fabric,2011,Apr,2011,APR,Material,832,Hospitality,Sheraton Towers Singapore Hotel,,SHERATON TOWERS SINGAPORE HOTEL,-80,-8
726,131942,Fabric,2011,Aug,2011,AUG,Material,290,Residential,,THE HILLSIDE,THE HILLSIDE,-84,-8.4
721,131942,Fabric,2011,Aug,2011,AUG,Material,560,Residential,,THE SAIL @ MARINA BAY,THE SAIL @ MARINA BAY,-84,-8.4
721,131942,Fabric,2011,Aug,2011,AUG,Material,644,Residential,,THE SAIL @ MARINA BAY,THE SAIL @ MARINA BAY,72,7.2
981,131942,Fabric,2011,Feb,2011,FEB,Material,12,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,-19,-1.9
981,131942,Fabric,2011,Feb,2011,FEB,Material,144,Hospitality,Rendezvous Hotel Singapore,,RENDEZVOUS HOTEL SINGAPORE,-51,-5.1
981,131942,Fabric,2011,Feb,2011,FEB,Material,9,Residential,,GRAND DUCHESS AT ST PATRICK'S,GRAND DUCHESS AT ST PATRICK'S,-47,-4.7
981,131942,Fabric,2011,Feb,2011,FEB,Material,9,Residential,,GRAND DUCHESS AT ST PATRICK'S,GRAND DUCHESS AT ST PATRICK'S,-24,-2.4
981,131942,Fabric,2011,Feb,2011,FEB,Material,81,Residential,,GRAND DUCHESS AT ST PATRICK'S,GRAND DUCHESS AT ST PATRICK'S,-19,-1.9
981,131942,Fabric,2011,Feb,2011,FEB,Material,135,Residential,,GRAND DUCHESS AT ST PATRICK'S,GRAND DUCHESS AT ST PATRICK'S,70,7
981,131942,Fabric,2011,Feb,2011,FEB,Material,324,Residential,,GRAND DUCHESS AT ST PATRICK'S,GRAND DUCHESS AT ST PATRICK'S,18,1.8
986,131942,Fabric,2011,Feb,2011,FEB,Material,542.3,Residential,,THE ESTA,THE ESTA,-75,-7.5
721,131942,Fabric,2011,Jan,2011,JAN,Material,96,Residential,,THE ORCHARD RESIDENCES,THE ORCHARD RESIDENCES,-70,-7
721,131942,Fabric,2011,Jan,2011,JAN,Material,180,Residential,,THE ORCHARD RESIDENCES,THE ORCHARD RESIDENCES,-38,-3.8
721,131942,Fabric,2011,Jan,2011,JAN,Material,336,Residential,,THE ORCHARD RESIDENCES,THE ORCHARD RESIDENCES,-8,-0.8
955,131942,Fabric,2011,Jul,2011,JUL,Material,135,Residential,,THE ARTE,THE ARTE,-30,-3
955,131942,Fabric,2011,Jul,2011,JUL,Material,135,Residential,,THE ARTE,THE ARTE,-31,-3.1
955,131942,Fabric,2011,Jul,2011,JUL,Material,135,Residential,,THE ARTE,THE ARTE,63,6.3
726,131942,Fabric,2011,Jul,2011,JUL,Material,493,Residential,,CARISSA PARK CONDOMINIUM,CARISSA PARK CONDOMINIUM,-36,-3.6
704,131942,Fabric,2011,Jun,2011,JUN,Material,960,Residential,,THE SAIL @ MARINA BAY,THE SAIL @ MARINA BAY,52,5.2
735,131942,Fabric,2011,Nov,2011,NOV,Material,210,Residential,,THE RIVERVALE,THE RIVERVALE,51,5.1
726,131942,Fabric,2011,Oct,2011,OCT,Material,300,Residential,,PARK INFINIA AT WEE NAM,PARK INFINIA AT WEE NAM,33,3.3
726,131942,Fabric,2011,Oct,2011,OCT,Material,300,Residential,,PARK INFINIA AT WEE NAM,PARK INFINIA AT WEE NAM,24,2.4
726,131942,Fabric,2011,Oct,2011,OCT,Material,360,Residential,,PARK INFINIA AT WEE NAM,PARK INFINIA AT WEE NAM,-90,-9
726,131942,Fabric,2011,Oct,2011,OCT,Material,360,Residential,,PARK INFINIA AT WEE NAM,PARK INFINIA AT WEE NAM,55,5.5
726,131942,Fabric,2011,Oct,2011,OCT,Material,540,Residential,,PARK INFINIA AT WEE NAM,PARK INFINIA AT WEE NAM,41,4.1
721,131942,Fabric,2012,Dec,2012,DEC,Material,899,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,-65,-6.5
721,131942,Fabric,2012,Dec,2012,DEC,Material,2281.05,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,-81,-8.1
721,131942,Fabric,2012,Dec,2012,DEC,Material,3844.34,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,-8,-0.8
721,131942,Fabric,2012,Dec,2012,DEC,Material,10016.66,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,-10,-1
721,131942,Fabric,2012,May,2012,MAY,Material,990,Hospitality,Hotel 81 - Balestier,,HOTEL 81 - BALESTIER,-47,-4.7
976,131942,Fabric,2012,May,2012,MAY,Material,510.4,Residential,,THE SAIL @ MARINA BAY,THE SAIL @ MARINA BAY,-72,-7.2
976,131942,Fabric,2012,May,2012,MAY,Material,510.4,Residential,,THE SAIL @ MARINA BAY,THE SAIL @ MARINA BAY,-41,-4.1
955,131942,Fabric,2013,Apr,2013,APR,Material,145,Residential,,THE QUAYSIDE,THE QUAYSIDE,-1,-0.1
721,131942,Fabric,2013,Feb,2013,FEB,Material,32.3,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,55,5.5
721,131942,Fabric,2013,Feb,2013,FEB,Material,816,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,-68,-6.8
721,131942,Fabric,2013,Feb,2013,FEB,Material,1200,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,-11,-1.1
721,131942,Fabric,2013,Feb,2013,FEB,Material,1700,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,-67,-6.7
976,131942,Fabric,2013,Feb,2013,FEB,Material,576,Residential,,MADISON RESIDENCES,MADISON RESIDENCES,45,4.5
721,131942,Fabric,2013,Feb,2013,FEB,Material,10520,Residential,,SENTOSA COVE,SENTOSA COVE,63,6.3
713,131942,Fabric,2014,Aug,2014,AUG,Material,144,Residential,,THE SEA VIEW,THE SEA VIEW,72,7.2
732,131942,Fabric,2016,Apr,2016,APR,Material,1332,Residential,,CLEMENTI PARK,CLEMENTI PARK,73,7.3
721,131943,Fabric,2014,Apr,2014,APR,Material,15,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,-56,-5.6
721,131943,Fabric,2014,Apr,2014,APR,Material,50,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,-52,-5.2
721,131943,Fabric,2014,Apr,2014,APR,Material,13700,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,-20,-2
721,131943,Fabric,2014,Apr,2014,APR,Material,58300,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,-21,-2.1
721,131943,Fabric,2014,Jul,2014,JUL,Material,45100,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,-30,-3
721,131943,Fabric,2014,Jun,2014,JUN,Material,50400,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,47,4.7
721,131943,Fabric,2014,May,2014,MAY,Material,1040,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,32,3.2
721,131943,Fabric,2014,May,2014,MAY,Material,2560,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,41,4.1
721,131943,Fabric,2014,May,2014,MAY,Material,3600,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,34,3.4
721,131943,Fabric,2014,Sep,2014,SEP,Material,1332,Residential,,GOODWOOD RESIDENCE,GOODWOOD RESIDENCE,31,3.1
805,131943,Fabric,2015,Nov,2015,NOV,Material,576,Residential,,THE PEAK,THE PEAK,56,5.6
938,131943,Fabric,2016,Aug,2016,AUG,Material,144,Residential,,TWIN FOUNTAINS,TWIN FOUNTAINS,-33,-3.3
976,131944,Fabric,2011,Jun,2011,JUN,Material,145,Residential,,WOODHAVEN,WOODHAVEN,-28,-2.8
735,131944,Fabric,2011,Nov,2011,NOV,Material,1335,Residential,,THE RIVERVALE,THE RIVERVALE,-83,-8.3
721,131944,Fabric,2012,Mar,2012,MAR,Material,585,Residential,,ELLIOT AT THE EAST COAST,ELLIOT AT THE EAST COAST,-58,-5.8
721,131944,Fabric,2013,Nov,2013,NOV,Material,405,Hospitality,V Hotel Bencoolen,,V HOTEL BENCOOLEN,-11,-1.1
721,131944,Fabric,2013,Oct,2013,OCT,Material,17.78,Hospitality,V Hotel Bencoolen,,V HOTEL BENCOOLEN,-75,-7.5
721,131944,Fabric,2013,Oct,2013,OCT,Material,106.68,Hospitality,V Hotel Bencoolen,,V HOTEL BENCOOLEN,-67,-6.7
721,131944,Fabric,2013,Oct,2013,OCT,Material,142.24,Hospitality,V Hotel Bencoolen,,V HOTEL BENCOOLEN,49,4.9
721,131944,Fabric,2013,Oct,2013,OCT,Material,977.9,Hospitality,V Hotel Bencoolen,,V HOTEL BENCOOLEN,-37,-3.7
721,131944,Fabric,2015,Apr,2015,APR,Material,1056,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,-98,-9.8
865,131945,Fabric,2011,Jul,2011,JUL,Material,528,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-16,-1.6
865,131945,Fabric,2011,Jul,2011,JUL,Material,528,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",17,1.7
865,131945,Fabric,2011,Jul,2011,JUL,Material,528,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",80,8
865,131945,Fabric,2011,Jul,2011,JUL,Material,528,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",20,2
976,131945,Fabric,2011,Jun,2011,JUN,Material,145,Residential,,WOODHAVEN,WOODHAVEN,-25,-2.5
732,131945,Fabric,2012,Jun,2012,JUN,Material,1344,Residential,,DOMUS,DOMUS,97,9.7
721,131945,Fabric,2013,Nov,2013,NOV,Material,1080,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,-11,-1.1
721,131945,Fabric,2014,Aug,2014,AUG,Material,22,Hospitality,Hotel 81 - Cherry,,HOTEL 81 - CHERRY,-29,-2.9
976,131945,Fabric,2014,Feb,2014,FEB,Material,588,Residential,,SAGE,SAGE,19,1.9
719,131946,Fabric,2011,Apr,2011,APR,Material,125,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-41,-4.1
719,131946,Fabric,2011,Apr,2011,APR,Material,125,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",81,8.1
719,131946,Fabric,2011,Apr,2011,APR,Material,125,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",24,2.4
719,131946,Fabric,2011,Apr,2011,APR,Material,125,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",66,6.6
719,131946,Fabric,2011,Apr,2011,APR,Material,125,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-79,-7.9
719,131946,Fabric,2011,Apr,2011,APR,Material,125,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",93,9.3
719,131946,Fabric,2011,Apr,2011,APR,Material,125,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",34,3.4
941,131946,Fabric,2011,Feb,2011,FEB,Material,150,Residential,,THE COUNTRYSIDE,THE COUNTRYSIDE,76,7.6
865,131946,Fabric,2011,Jul,2011,JUL,Material,350,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-81,-8.1
865,131946,Fabric,2011,Jul,2011,JUL,Material,450,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-50,-5
719,131946,Fabric,2011,May,2011,MAY,Material,25,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",8,0.8
719,131946,Fabric,2011,May,2011,MAY,Material,100,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-17,-1.7
721,131946,Fabric,2014,Jun,2014,JUN,Material,1386,Residential,,ASPEN HEIGHTS,ASPEN HEIGHTS,73,7.3
704,131946,Fabric,2015,Apr,2015,APR,Material,1094.4,Hospitality,Carlton Hotel,,CARLTON HOTEL,-55,-5.5
704,131946,Fabric,2015,Apr,2015,APR,Material,2041.6,Hospitality,Carlton Hotel,,CARLTON HOTEL,-9,-0.9
757,131946,Fabric,2016,May,2016,MAY,Material,594,Residential,,EUHABITAT,EUHABITAT,-86,-8.6
719,131948,Fabric,2011,Apr,2011,APR,Material,250,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",31,3.1
719,131948,Fabric,2011,Apr,2011,APR,Material,250,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-100,-10
719,131948,Fabric,2011,Apr,2011,APR,Material,250,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",42,4.2
719,131948,Fabric,2011,Apr,2011,APR,Material,250,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",3,0.3
719,131948,Fabric,2011,Apr,2011,APR,Material,250,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",94,9.4
719,131948,Fabric,2011,Apr,2011,APR,Material,250,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",31,3.1
719,131948,Fabric,2011,Apr,2011,APR,Material,250,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-30,-3
719,131948,Fabric,2011,Apr,2011,APR,Material,375,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",43,4.3
719,131948,Fabric,2011,Apr,2011,APR,Material,375,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-90,-9
719,131948,Fabric,2011,Apr,2011,APR,Material,375,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",8,0.8
719,131948,Fabric,2011,Apr,2011,APR,Material,375,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",1,0.1
719,131948,Fabric,2011,Apr,2011,APR,Material,375,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",99,9.9
719,131948,Fabric,2011,Apr,2011,APR,Material,375,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",35,3.5
719,131948,Fabric,2011,Apr,2011,APR,Material,375,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",63,6.3
719,131948,Fabric,2011,Apr,2011,APR,Material,375,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",11,1.1
941,131948,Fabric,2011,Feb,2011,FEB,Material,150,Residential,,THE COUNTRYSIDE,THE COUNTRYSIDE,-5,-0.5
721,131948,Fabric,2011,Jan,2011,JAN,Material,1392,Residential,,THE ORCHARD RESIDENCES,THE ORCHARD RESIDENCES,-19,-1.9
865,131948,Fabric,2011,Jul,2011,JUL,Material,50,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",33,3.3
865,131948,Fabric,2011,Jul,2011,JUL,Material,50,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",27,2.7
865,131948,Fabric,2011,Jul,2011,JUL,Material,50,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-71,-7.1
865,131948,Fabric,2011,Jul,2011,JUL,Material,400,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",96,9.6
865,131948,Fabric,2011,Jul,2011,JUL,Material,1000,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",0,0
865,131948,Fabric,2011,Jul,2011,JUL,Material,1325,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-62,-6.2
865,131948,Fabric,2011,Jul,2011,JUL,Material,1325,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",57,5.7
865,131948,Fabric,2011,Jul,2011,JUL,Material,1325,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",62,6.2
719,131948,Fabric,2011,May,2011,MAY,Material,25,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-71,-7.1
719,131948,Fabric,2011,May,2011,MAY,Material,475,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",30,3
721,131948,Fabric,2012,Oct,2012,OCT,Material,1100,Hospitality,Carlton Hotel,,CARLTON HOTEL,-4,-0.4
721,131948,Fabric,2012,Oct,2012,OCT,Material,1125,Hospitality,Carlton Hotel,,CARLTON HOTEL,-3,-0.3
721,131948,Fabric,2012,Oct,2012,OCT,Material,1200,Hospitality,Carlton Hotel,,CARLTON HOTEL,-97,-9.7
721,131948,Fabric,2012,Oct,2012,OCT,Material,1250,Hospitality,Carlton Hotel,,CARLTON HOTEL,-13,-1.3
721,131948,Fabric,2012,Oct,2012,OCT,Material,1250,Hospitality,Carlton Hotel,,CARLTON HOTEL,-40,-4
721,131948,Fabric,2012,Oct,2012,OCT,Material,1325,Hospitality,Carlton Hotel,,CARLTON HOTEL,-24,-2.4
813,131948,Fabric,2014,Jan,2014,JAN,Material,594,Residential,,HILLCREST PARK,HILLCREST PARK,-72,-7.2
721,131949,Fabric,2011,Jan,2011,JAN,Material,224.29,Residential,,THE ORCHARD RESIDENCES,THE ORCHARD RESIDENCES,41,4.1
721,131949,Fabric,2011,Jun,2011,JUN,Material,209.25,Residential,,THE ORCHARD RESIDENCES,THE ORCHARD RESIDENCES,80,8
721,131949,Fabric,2011,Jun,2011,JUN,Material,220.32,Residential,,THE ORCHARD RESIDENCES,THE ORCHARD RESIDENCES,-16,-1.6
721,131949,Fabric,2011,Jun,2011,JUN,Material,276.75,Residential,,THE ORCHARD RESIDENCES,THE ORCHARD RESIDENCES,61,6.1
721,131949,Fabric,2011,Jun,2011,JUN,Material,351,Residential,,THE ORCHARD RESIDENCES,THE ORCHARD RESIDENCES,-75,-7.5
865,131949,Fabric,2011,Oct,2011,OCT,Material,158,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-11,-1.1
865,131949,Fabric,2011,Oct,2011,OCT,Material,158,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-26,-2.6
719,131949,Fabric,2011,Oct,2011,OCT,Material,158,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",55,5.5
719,131949,Fabric,2011,Oct,2011,OCT,Material,158,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",94,9.4
719,131949,Fabric,2011,Oct,2011,OCT,Material,316,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",2,0.2
721,131949,Fabric,2012,Dec,2012,DEC,Material,840,Hospitality,Hotel 81 - Lavender,,HOTEL 81 - LAVENDER,-4,-0.4
737,131949,Fabric,2012,Oct,2012,OCT,Material,151.5,Residential,,BELLE VUE RESIDENCES,BELLE VUE RESIDENCES,-85,-8.5
721,131949,Fabric,2013,Aug,2013,AUG,Material,560,Hospitality,V Hotel Bencoolen,,V HOTEL BENCOOLEN,-77,-7.7
721,131949,Fabric,2013,Feb,2013,FEB,Material,2950,Residential,,SENTOSA COVE,SENTOSA COVE,31,3.1
721,131949,Fabric,2013,Oct,2013,OCT,Material,120,Hospitality,V Hotel Bencoolen,,V HOTEL BENCOOLEN,18,1.8
721,131949,Fabric,2014,Aug,2014,AUG,Material,26,Hospitality,Hotel 81 - Cherry,,HOTEL 81 - CHERRY,66,6.6
721,131949,Fabric,2014,Jan,2014,JAN,Material,80,Residential,,ELLIOT AT THE EAST COAST,ELLIOT AT THE EAST COAST,-88,-8.8
737,131949,Fabric,2014,Mar,2014,MAR,Material,250,Residential,,PARK EAST,PARK EAST,-20,-2
721,131949,Fabric,2015,Dec,2015,DEC,Material,1100,Hospitality,Hilton Singapore,,HILTON SINGAPORE,66,6.6
938,131949,Fabric,2015,Dec,2015,DEC,Material,1404,Residential,,CAMELOT BY-THE-WATER,CAMELOT BY-THE-WATER,40,4
757,131949,Fabric,2016,May,2016,MAY,Material,595,Residential,,EUHABITAT,EUHABITAT,7,0.7
976,131950,Fabric,2012,Dec,2012,DEC,Material,312,Residential,,BALMORAL RESIDENCES,BALMORAL RESIDENCES,91,9.1
721,131950,Fabric,2012,Mar,2012,MAR,Material,600,Residential,,ELLIOT AT THE EAST COAST,ELLIOT AT THE EAST COAST,-87,-8.7
721,131950,Fabric,2012,Mar,2012,MAR,Material,1000,Residential,,ELLIOT AT THE EAST COAST,ELLIOT AT THE EAST COAST,64,6.4
976,131950,Fabric,2013,Feb,2013,FEB,Material,156,Residential,,BALMORAL RESIDENCES,BALMORAL RESIDENCES,93,9.3
