Sales_Code,Item_number,Product,Year_Ori,Month_Ori,Year,Month,Item_Type,Sales,Sector,Hotel,Residence,Property,Growth
721,131943,Fabric,2014,Apr,2014,APR,Material,13700,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,-20
721,131943,Fabric,2014,Apr,2014,APR,Material,58300,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,-21
721,131943,Fabric,2014,Jul,2014,JUL,Material,45100,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,-30
721,131943,Fabric,2014,Jun,2014,JUN,Material,50400,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,47
721,131943,Fabric,2014,May,2014,MAY,Material,1040,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,32
721,131943,Fabric,2014,May,2014,MAY,Material,2560,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,41
721,131943,Fabric,2014,May,2014,MAY,Material,3600,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,34
721,131943,Fabric,2014,Sep,2014,SEP,Material,1332,Residential,,GOODWOOD RESIDENCE,GOODWOOD RESIDENCE,31
805,131943,Fabric,2015,Nov,2015,NOV,Material,576,Residential,,THE PEAK,THE PEAK,56
938,131943,Fabric,2016,Aug,2016,AUG,Material,144,Residential,,TWIN FOUNTAINS,TWIN FOUNTAINS,-33
976,131944,Fabric,2011,Jun,2011,JUN,Material,145,Residential,,WOODHAVEN,WOODHAVEN,-28
735,131944,Fabric,2011,Nov,2011,NOV,Material,1335,Residential,,THE RIVERVALE,THE RIVERVALE,-83
721,131944,Fabric,2012,Mar,2012,MAR,Material,585,Residential,,ELLIOT AT THE EAST COAST,ELLIOT AT THE EAST COAST,-58
721,131944,Fabric,2013,Nov,2013,NOV,Material,405,Hospitality,V Hotel Bencoolen,,V HOTEL BENCOOLEN,-11
721,131944,Fabric,2013,Oct,2013,OCT,Material,17.78,Hospitality,V Hotel Bencoolen,,V HOTEL BENCOOLEN,-75
721,131944,Fabric,2013,Oct,2013,OCT,Material,106.68,Hospitality,V Hotel Bencoolen,,V HOTEL BENCOOLEN,-67
721,131944,Fabric,2013,Oct,2013,OCT,Material,142.24,Hospitality,V Hotel Bencoolen,,V HOTEL BENCOOLEN,49
721,131944,Fabric,2013,Oct,2013,OCT,Material,977.9,Hospitality,V Hotel Bencoolen,,V HOTEL BENCOOLEN,-37
721,131944,Fabric,2015,Apr,2015,APR,Material,1056,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,-98
865,131945,Fabric,2011,Jul,2011,JUL,Material,528,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-16
865,131945,Fabric,2011,Jul,2011,JUL,Material,528,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",17
865,131945,Fabric,2011,Jul,2011,JUL,Material,528,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",80
865,131945,Fabric,2011,Jul,2011,JUL,Material,528,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",20
976,131945,Fabric,2011,Jun,2011,JUN,Material,145,Residential,,WOODHAVEN,WOODHAVEN,-25
732,131945,Fabric,2012,Jun,2012,JUN,Material,1344,Residential,,DOMUS,DOMUS,97
721,131945,Fabric,2013,Nov,2013,NOV,Material,1080,Hospitality,Marina Bay Sands Singapore,,MARINA BAY SANDS SINGAPORE,-11
721,131945,Fabric,2014,Aug,2014,AUG,Material,22,Hospitality,Hotel 81 - Cherry,,HOTEL 81 - CHERRY,-29
976,131945,Fabric,2014,Feb,2014,FEB,Material,588,Residential,,SAGE,SAGE,19
719,131946,Fabric,2011,Apr,2011,APR,Material,125,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-41
719,131946,Fabric,2011,Apr,2011,APR,Material,125,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",81
719,131946,Fabric,2011,Apr,2011,APR,Material,125,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",24
719,131946,Fabric,2011,Apr,2011,APR,Material,125,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",66
719,131946,Fabric,2011,Apr,2011,APR,Material,125,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-79
719,131946,Fabric,2011,Apr,2011,APR,Material,125,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",93
719,131946,Fabric,2011,Apr,2011,APR,Material,125,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",34
941,131946,Fabric,2011,Feb,2011,FEB,Material,150,Residential,,THE COUNTRYSIDE,THE COUNTRYSIDE,76
865,131946,Fabric,2011,Jul,2011,JUL,Material,350,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-81
865,131946,Fabric,2011,Jul,2011,JUL,Material,450,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-50
719,131946,Fabric,2011,May,2011,MAY,Material,25,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",8
719,131946,Fabric,2011,May,2011,MAY,Material,100,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-17
721,131946,Fabric,2014,Jun,2014,JUN,Material,1386,Residential,,ASPEN HEIGHTS,ASPEN HEIGHTS,73
704,131946,Fabric,2015,Apr,2015,APR,Material,1094.4,Hospitality,Carlton Hotel,,CARLTON HOTEL,-55
704,131946,Fabric,2015,Apr,2015,APR,Material,2041.6,Hospitality,Carlton Hotel,,CARLTON HOTEL,-9
757,131946,Fabric,2016,May,2016,MAY,Material,594,Residential,,EUHABITAT,EUHABITAT,-86
719,131948,Fabric,2011,Apr,2011,APR,Material,250,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",31
719,131948,Fabric,2011,Apr,2011,APR,Material,250,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-100
719,131948,Fabric,2011,Apr,2011,APR,Material,250,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",42
719,131948,Fabric,2011,Apr,2011,APR,Material,250,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",3
719,131948,Fabric,2011,Apr,2011,APR,Material,250,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",94
719,131948,Fabric,2011,Apr,2011,APR,Material,250,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",31
719,131948,Fabric,2011,Apr,2011,APR,Material,250,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-30
719,131948,Fabric,2011,Apr,2011,APR,Material,375,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",43
719,131948,Fabric,2011,Apr,2011,APR,Material,375,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-90
719,131948,Fabric,2011,Apr,2011,APR,Material,375,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",8
719,131948,Fabric,2011,Apr,2011,APR,Material,375,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",1
719,131948,Fabric,2011,Apr,2011,APR,Material,375,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",99
719,131948,Fabric,2011,Apr,2011,APR,Material,375,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",35
719,131948,Fabric,2011,Apr,2011,APR,Material,375,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",63
719,131948,Fabric,2011,Apr,2011,APR,Material,375,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",11
941,131948,Fabric,2011,Feb,2011,FEB,Material,150,Residential,,THE COUNTRYSIDE,THE COUNTRYSIDE,-5
721,131948,Fabric,2011,Jan,2011,JAN,Material,1392,Residential,,THE ORCHARD RESIDENCES,THE ORCHARD RESIDENCES,-19
865,131948,Fabric,2011,Jul,2011,JUL,Material,50,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",33
865,131948,Fabric,2011,Jul,2011,JUL,Material,50,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",27
865,131948,Fabric,2011,Jul,2011,JUL,Material,50,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-71
865,131948,Fabric,2011,Jul,2011,JUL,Material,400,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",96
865,131948,Fabric,2011,Jul,2011,JUL,Material,1000,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",0
865,131948,Fabric,2011,Jul,2011,JUL,Material,1325,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-62
865,131948,Fabric,2011,Jul,2011,JUL,Material,1325,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",57
865,131948,Fabric,2011,Jul,2011,JUL,Material,1325,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",62
719,131948,Fabric,2011,May,2011,MAY,Material,25,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-71
719,131948,Fabric,2011,May,2011,MAY,Material,475,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",30
721,131948,Fabric,2012,Oct,2012,OCT,Material,1100,Hospitality,Carlton Hotel,,CARLTON HOTEL,-4
721,131948,Fabric,2012,Oct,2012,OCT,Material,1125,Hospitality,Carlton Hotel,,CARLTON HOTEL,-3
721,131948,Fabric,2012,Oct,2012,OCT,Material,1200,Hospitality,Carlton Hotel,,CARLTON HOTEL,-97
721,131948,Fabric,2012,Oct,2012,OCT,Material,1250,Hospitality,Carlton Hotel,,CARLTON HOTEL,-13
721,131948,Fabric,2012,Oct,2012,OCT,Material,1250,Hospitality,Carlton Hotel,,CARLTON HOTEL,-40
721,131948,Fabric,2012,Oct,2012,OCT,Material,1325,Hospitality,Carlton Hotel,,CARLTON HOTEL,-24
813,131948,Fabric,2014,Jan,2014,JAN,Material,594,Residential,,HILLCREST PARK,HILLCREST PARK,-72
721,131949,Fabric,2011,Jan,2011,JAN,Material,224.29,Residential,,THE ORCHARD RESIDENCES,THE ORCHARD RESIDENCES,41
721,131949,Fabric,2011,Jun,2011,JUN,Material,209.25,Residential,,THE ORCHARD RESIDENCES,THE ORCHARD RESIDENCES,80
721,131949,Fabric,2011,Jun,2011,JUN,Material,220.32,Residential,,THE ORCHARD RESIDENCES,THE ORCHARD RESIDENCES,-16
721,131949,Fabric,2011,Jun,2011,JUN,Material,276.75,Residential,,THE ORCHARD RESIDENCES,THE ORCHARD RESIDENCES,61
721,131949,Fabric,2011,Jun,2011,JUN,Material,351,Residential,,THE ORCHARD RESIDENCES,THE ORCHARD RESIDENCES,-75
865,131949,Fabric,2011,Oct,2011,OCT,Material,158,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-11
865,131949,Fabric,2011,Oct,2011,OCT,Material,158,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",-26
719,131949,Fabric,2011,Oct,2011,OCT,Material,158,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",55
719,131949,Fabric,2011,Oct,2011,OCT,Material,158,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",94
719,131949,Fabric,2011,Oct,2011,OCT,Material,316,Hospitality,"Amara Sanctuary Resort, Sentosa",,"AMARA SANCTUARY RESORT, SENTOSA",2
721,131949,Fabric,2012,Dec,2012,DEC,Material,840,Hospitality,Hotel 81 - Lavender,,HOTEL 81 - LAVENDER,-4
737,131949,Fabric,2012,Oct,2012,OCT,Material,151.5,Residential,,BELLE VUE RESIDENCES,BELLE VUE RESIDENCES,-85
721,131949,Fabric,2013,Aug,2013,AUG,Material,560,Hospitality,V Hotel Bencoolen,,V HOTEL BENCOOLEN,-77
721,131949,Fabric,2013,Feb,2013,FEB,Material,2950,Residential,,SENTOSA COVE,SENTOSA COVE,31
721,131949,Fabric,2013,Oct,2013,OCT,Material,120,Hospitality,V Hotel Bencoolen,,V HOTEL BENCOOLEN,18
721,131949,Fabric,2014,Aug,2014,AUG,Material,26,Hospitality,Hotel 81 - Cherry,,HOTEL 81 - CHERRY,66
721,131949,Fabric,2014,Jan,2014,JAN,Material,80,Residential,,ELLIOT AT THE EAST COAST,ELLIOT AT THE EAST COAST,-88
737,131949,Fabric,2014,Mar,2014,MAR,Material,250,Residential,,PARK EAST,PARK EAST,-20
721,131949,Fabric,2015,Dec,2015,DEC,Material,1100,Hospitality,Hilton Singapore,,HILTON SINGAPORE,66
938,131949,Fabric,2015,Dec,2015,DEC,Material,1404,Residential,,CAMELOT BY-THE-WATER,CAMELOT BY-THE-WATER,40
757,131949,Fabric,2016,May,2016,MAY,Material,595,Residential,,EUHABITAT,EUHABITAT,7
976,131950,Fabric,2012,Dec,2012,DEC,Material,312,Residential,,BALMORAL RESIDENCES,BALMORAL RESIDENCES,91
721,131950,Fabric,2012,Mar,2012,MAR,Material,600,Residential,,ELLIOT AT THE EAST COAST,ELLIOT AT THE EAST COAST,-87
721,131950,Fabric,2012,Mar,2012,MAR,Material,1000,Residential,,ELLIOT AT THE EAST COAST,ELLIOT AT THE EAST COAST,64
976,131950,Fabric,2013,Feb,2013,FEB,Material,156,Residential,,BALMORAL RESIDENCES,BALMORAL RESIDENCES,93
776,131950,Fabric,2013,Feb,2013,FEB,Material,234,Residential,,DUCHESS RESIDENCES,DUCHESS RESIDENCES,94
776,131950,Fabric,2013,Feb,2013,FEB,Material,234,Residential,,DUCHESS RESIDENCES,DUCHESS RESIDENCES,-45
776,131950,Fabric,2013,Feb,2013,FEB,Material,1413,Residential,,DUCHESS RESIDENCES,DUCHESS RESIDENCES,12
721,131950,Fabric,2013,Sep,2013,SEP,Material,30,Hospitality,InterContinental Singapore,,INTERCONTINENTAL SINGAPORE,-35
721,131950,Fabric,2014,Nov,2014,NOV,Material,1109.25,Hospitality,Orchard Hotel Singapore,,ORCHARD HOTEL SINGAPORE,-40
721,131950,Fabric,2014,Nov,2014,NOV,Material,32320.5,Hospitality,Orchard Hotel Singapore,,ORCHARD HOTEL SINGAPORE,-3
719,131951,Fabric,2011,Apr,2011,APR,Material,97.5,Hospitality,Sheraton Towers Singapore Hotel,,SHERATON TOWERS SINGAPORE HOTEL,6
719,131951,Fabric,2011,Apr,2011,APR,Material,97.5,Hospitality,Sheraton Towers Singapore Hotel,,SHERATON TOWERS SINGAPORE HOTEL,92
719,131951,Fabric,2011,Apr,2011,APR,Material,149.5,Hospitality,Sheraton Towers Singapore Hotel,,SHERATON TOWERS SINGAPORE HOTEL,-87
719,131951,Fabric,2011,Apr,2011,APR,Material,149.5,Hospitality,Sheraton Towers Singapore Hotel,,SHERATON TOWERS SINGAPORE HOTEL,-87
976,131951,Fabric,2011,Apr,2011,APR,Material,320,Residential,,PROXIMO,PROXIMO,4
