project_name,developer,street_name,existing,latitude,longitude
EASTWOOD PARK,,,N,1.321395,103.956048
GEYLANG CONSERVATION AREA,,,N,1.352083,103.819836
THE BERTHSIDE,,,N,1.352083,103.819836
KIMNAN PARK,,,N,1.352083,103.819836
ST NICHOLAS VIEW,,,N,1.373296,103.832776
SANTA TERRACES,,,N,1.352083,103.819836
VILLA BEGONIA,,,N,1.352083,103.819836
KALEIDO,Amerald Land (TKLK) Pte Ltd,Lorong K Telok Kurau,N,1.352083,103.819836
CHUAN VISTA,,,N,1.360459,103.866841
YONG SENG ESTATE,,,N,1.33413,103.721449
CENTURY WOODS,,,N,1.352083,103.819836
PAYA LEBAR GARDENS,,,N,1.324012,103.890834
SUMMER VILLAS,,,N,1.387188,103.877839
GROVE RESIDENCE,,,N,1.352083,103.819836
VILLAS SIX,,,N,1.367636,103.87694
ALWYN PARK,,,N,1.352083,103.819836
VILLA PONDER ROSA,,,N,1.352083,103.819836
AVANT PARC,,,N,1.352083,103.819836
DEDAP GARDENS,,,N,1.388196,103.865338
HOCK SWEE HILL,,,N,1.285508,103.839063
HOLLAND GROVE,,,N,1.313155,103.780517
THE SILVER SPURZ,,,N,1.352083,103.819836
HOLLAND GARDENS,,,N,1.313005,103.797956
LOTUS VILLE,JVA LTK Pte Ltd,Lorong L Telok Kurau,N,1.352083,103.819836
CHARLTON VILLAS,,,N,1.354743,103.881872
CACTUS BLOOM,,,N,1.352083,103.819836
AVENUE VILLAS,,,N,1.368006,103.877973
GAMBIER COURT,,,N,1.352083,103.819836
HORIZON GARDENS,,,N,1.376844,103.83484
TANAH MERAH GREEN,,,N,1.32564,103.972212
GALLOP PARK,,,N,1.318429,103.81221
MANDAI GARDEN,,,N,1.411853,103.786395
MERA GARDENS,,,N,1.352083,103.819836
WOLSKEL LODGE,,,N,1.352083,103.819836
HONG KONG PARK,,,N,1.287272,103.847862
PAVILION PARK (PHASE 2),,,N,1.352083,103.819836
BLOSSOM GARDENS,,,N,1.344935,103.876443
MING PARK,,,N,1.319677,103.788405
STRAITS GARDENS,,,N,1.279755,103.853602
WELLINGTON PARK,,,N,1.452661,103.821818
MANDARIN PARK,,,N,1.352083,103.819836
RESERVOIR VILLAS,,,N,1.341011,103.832706
GARLICK VILLE,,,N,1.325515,103.792828
NAMLY COURT,,,N,1.326563,103.797844
ISLAND COUNTRY VILLAS,,,N,1.25882,103.815038
FORTUNE VIEW,,,N,1.352083,103.819836
HAZEL PARK TERRACE,,,N,1.371722,103.764282
TAI HWAN PARK,,,N,1.356208,103.860442
LE ROYCE @ LEITH PARK,,,N,1.362117,103.874117
CANARY PARK,,,N,1.352083,103.819836
MOUNT ECHO PARK,,,N,1.295981,103.82035
ATELIER VILLAS,,,N,1.352083,103.819836
EASTWOOD VILLE,,,N,1.352083,103.819836
MIMOSA VALE,,,N,1.382821,103.860185
GOODMAN CREST,,,N,1.304403,103.890254
WATERFRONT @ FABER,World Class Land Pte Ltd,Faber Walk,N,1.352083,103.819836
BEDOK PESARI,,,N,1.32433,103.954441
FULTON HILL,,,N,1.361841,103.833748
WOODLANDS PARK,,,N,1.438192,103.78896
PEAKVILLE PARK,,,N,1.332687,103.945169
GREENRIDGE,,,N,1.334287,103.765934
MERA TERRACE,,,N,1.347449,103.963994
CHWEE CHIAN VIEW,,,N,1.279831,103.788182
LANDED HOUSING DEVELOPMENT,,,N,1.352083,103.819836
MILFORD VILLAS,,,N,1.352083,103.819836
THOMSON RISE ESTATE,,,N,1.327496,103.841345
MIMOSA VILLAS,,,N,1.384124,103.862119
BEECHWOOD TERRACE,,,N,1.427053,103.778478
SELETAR GARDEN,,,N,1.407095,103.884384
SUNCOTTAGES,,,N,1.3721,103.768981
THE GLENCAIRD RESIDENCES,,,N,1.352083,103.819836
ARDISIA GARDEN,,,N,1.347739,103.877548
SARACA VILLAS,,,N,1.383773,103.858914
GOLDENHILL VILLAS,,,N,1.352083,103.819836
ROSIE VIEW,,,N,1.322844,103.835245
HOOVER PARK,,,N,1.344207,103.772752
VERDANA VILLAS,,,N,1.352083,103.819836
CALDECOTT HILL ESTATE,,,N,1.33895,103.8312
ISLAND PARK,,,N,1.409295,103.92165
SIN CHUAN GARDEN,,,N,1.352083,103.819836
SENG YONG VILLAS,,,N,1.352083,103.819836
FORTUNA HILL,,,N,1.352083,103.819836
WATER TERRACE,,,N,1.354079,103.697939
VENTANA VILLAS,,,N,1.352083,103.819836
THE CLEMENTVALE,,,N,1.352083,103.819836
GAMBIR GARDENS,,,N,1.344195,103.874313
LENTOR VIEW,,,N,1.395534,103.832025
RIVERTREES RESIDENCES,Watervine Homes Pte Ltd,Fernvale Close,N,1.352083,103.819836
GERALD RESIDENCE,,,N,1.352083,103.819836
SOVEREIGN @ SIMON,,,N,1.352083,103.819836
EATON PARK,,,N,1.38829,103.877328
BUKIT VILLAS,,,N,1.416438,103.754764
WEST SEA GARDENS,,,N,1.305377,103.907212
THE ARECA,,,N,1.33924,103.88424
YUNNAN GARDENS,,,N,1.338575,103.692206
PARRY GREEN,,,N,1.364375,103.878378
BINJAI CREST,,,N,1.343054,103.786989
TERESA 8,,,N,1.276506,103.825755
WEST POINT PEARL GARDEN,,,N,1.283559,103.841274
LUXUS HILLS (PH 6),,,N,1.352083,103.819836
THOMSON PARK,,,N,1.35431,103.834352
SURIN GARDENS,,,N,1.356388,103.884264
VICTORY VILLE,,,N,1.352083,103.819836
SOMMERVILLE REGENCY,,,N,1.352083,103.819836
CHESTNUT GARDENS,,,N,1.36919,103.768577
KINGSFORD TERRACE,,,N,1.352083,103.819836
MARINE GARDEN,,,N,1.304968,103.916227
SEASIDE PARK,,,N,1.352083,103.819836
PALMS @ SIXTH AVENUE,,,N,1.324384,103.792254
MELODY VILLAS,,,N,1.352083,103.819836
LANGE 28,,,N,1.359003,103.877412
8 @ STRATTON,,,N,1.381058,103.867326
SIGLAP PARK,,,N,1.310857,103.916846
MAYFLOWER GARDENS,,,N,1.371821,103.839549
SARACA GARDENS,,,N,1.385429,103.863628
CASHEW ESTATE,,,N,1.371882,103.767783
BARKER VILLE,,,N,1.352083,103.819836
QUEEN ASTRID PARK,,,N,1.318374,103.790669
FENGLI GARDENS,,,N,1.352083,103.819836
ISLAND GARDENS,,,N,1.362202,103.829647
HIGH PARK RESIDENCES,Fernvale Development Pte Ltd,Fernvale Road,N,1.352083,103.819836
GOODWOOD GRAND,Feature (Balmoral) Pte Ltd,Balmoral Road,N,1.352083,103.819836
PRINCETON VALE,,,N,1.352083,103.819836
GREEN PARK,,,N,1.347895,103.788828
DUCHESS GARDEN,,,N,1.323288,103.807159
COUNTRYVIEW,,,N,1.388529,103.840544
SIGLAP HILL 33,,,N,1.320259,103.918876
YIO CHU KANG TERRACE,,,N,1.358999,103.875329
JC VILLE,,,N,1.352083,103.819836
THE TOP RESIDENCE,,,N,1.352083,103.819836
GARDEN VIEW ESTATE,,,N,1.35764,103.758338
PINEWOOD TERRACE,,,N,1.428243,103.780078
RESIDENCE 8,,,N,1.316056,103.890896
RAINTREE VALLEY,,,N,1.352083,103.819836
SARINA PARK,,,N,1.31963,103.907758
LENTOR VILLAS,,,N,1.395534,103.832025
FABER GARDEN,,,N,1.352083,103.819836
VALVISTA,,,N,1.352083,103.819836
CAMELIA PARK,,,N,1.352083,103.819836
CHUAN VALE,,,N,1.353956,103.864227
TIVOLI GARDENS,,,N,1.352083,103.819836
GREENWOOD MEWS,Golden Development Pte Ltd/Astoria Park Pte Ltd,Greenwood Avenue,N,1.334482,103.805153
PLATINA GARDENS,,,N,1.427523,103.825857
VAUGHAN GARDEN,,,N,1.347276,103.871089
UNIQUE GARDEN,,,N,1.352083,103.819836
CHEOW KENG GARDEN,,,N,1.307389,103.905797
ORCHID VILLAGE,,,N,1.301578,103.838276
CAMWOOD PARK,,,N,1.352083,103.819836
3BHC,,,N,1.352083,103.819836
KEW COTTAGES,,,N,1.318647,103.949872
CLASSICAL TERRACE,,,N,1.344744,103.876492
CHUAN GREEN,,,N,1.353956,103.864227
SIMEI GARDEN,,,N,1.337987,103.949976
CERELIA VISTA,,,N,1.352083,103.819836
JEWEL @ CHUAN HOE,,,N,1.352083,103.819836
CHUAN LOFT,,,N,1.361632,103.866395
BLAIR PLAIN CONSERVATION AREA,,,N,1.352083,103.819836
LUCKY PARK,,,N,1.317523,103.940811
CHARLTON PARK,,,N,1.354743,103.881872
HOCK SENG PARK,,,N,1.352083,103.819836
WESTMONT,,,N,1.352083,103.819836
LAUW AND SONS GARDEN,,,N,1.352083,103.819836
STRATTON PARK,,,N,1.380899,103.866293
BUKIT LOYANG ESTATE,,,N,1.352083,103.819836
HOLLAND GREEN,,,N,1.326015,103.78415
SANDALWOOD,,,N,1.352083,103.819836
GOLDEN CHUAN VILLE,,,N,1.352083,103.819836
FERNHILL COTTAGE,,,N,1.313854,103.824031
CHUAN VISTA II,,,N,1.341351,103.889157
BAROSSA GARDENS,,,N,1.281281,103.784119
YUGI GARDEN,,,N,1.352083,103.819836
CACTUS GREEN,,,N,1.391225,103.850815
THE MONDRIAN,,,N,1.352083,103.819836
EIGHT @ EAST COAST,,,N,1.312705,103.925406
GLASGOW GREEN,,,N,1.36162,103.878666
GRANDIOSO 8,,,N,1.352083,103.819836
HEETON PARK,,,N,1.352083,103.819836
KASARA,,,N,1.352083,103.819836
EASTWOOD GREEN TERRACES,,,N,1.352083,103.819836
LIMAU GROVE,,,N,1.322937,103.951574
JERVOIS VILLE,,,N,1.294922,103.821179
HARVEY RESIDENCES,,,N,1.352083,103.819836
KOVAN REGENCY,,,N,1.352083,103.819836
CHEPSTOW VILLE,,,N,1.352083,103.819836
SUNGROVE,,,N,1.352083,103.819836
VILLAS @ GILSTEAD,,,N,1.317216,103.838846
SURIN VILLAS,,,N,1.356388,103.884264
BARKER TERRACES,,,N,1.352083,103.819836
PARADISE ISLAND,,,N,1.25065,103.843799
SANDY ISLAND,,,N,1.311885,103.893052
MICHAELS' RESIDENCES,B+M Avenue Pte Ltd,Almond Street/Almond Avenue,N,1.352083,103.819836
PALM GROVE REGENCY,,,N,1.352083,103.819836
BARTLEY VILLAS,,,N,1.345106,103.878063
SUMMERLEA GREEN,,,N,1.352083,103.819836
MUN WAH GARDEN,,,N,1.352083,103.819836
LOWLAND TERRACE,,,N,1.361446,103.883249
ELEVEN @ HOLLAND,,,N,1.308714,103.793108
SPRINGLEAF VILLAS,,,N,1.397423,103.822168
CHUAN GARDEN,,,N,1.363048,103.868319
LLYN GARDENS,,,N,1.352083,103.819836
LEITH PARK,,,N,1.362117,103.874117
WEST SHORE RESIDENCES,,,N,1.352083,103.819836
RACE COURSE RD/OWEN RD CON AREA,,,N,1.352083,103.819836
CHATEAU LA SALLE,,,N,1.352083,103.819836
GOODLINK PARK,,,N,1.426335,103.825402
HENLEY GARDENS,,,N,1.352083,103.819836
DUNSFOLD RESIDENCES,,,N,1.352083,103.819836
ENGLISH VILLAS,,,N,1.32717,103.949922
ALLSWORTH PARK,,,N,1.352083,103.819836
HAUS@SERANGOON GARDEN,Sparkland Holdings Pte Ltd,Serangoon Garden Drive/Place/Rise/Close/Terrace,N,1.363707,103.866381
THOMSON HILLS,,,N,1.378574,103.831872
NORTHSHORE BUNGALOWS,,,N,1.352083,103.819836
BARKER 9,,,N,1.319801,103.833941
TUAN SING PARK,,,N,1.352083,103.819836
TATIANA TERRACE,,,N,1.352083,103.819836
CHANGI GROVE,,,N,1.318358,103.908854
GENTLE REFLECTIONS,,,N,1.352083,103.819836
LA QUINTA PARK,,,N,1.352083,103.819836
LEGEND @ JANSEN,,,N,1.352083,103.819836
THE FORD @ HOLLAND,,,N,1.312866,103.794086
BARTLEY RISE ESTATE,,,N,1.343714,103.87802
BOUTIQUE @ KOVAN,,,N,1.352083,103.819836
PALM TREE NINES,,,N,1.320445,103.952588
GREENBANK PARK,,,N,1.347895,103.788828
D' SILVA TERRACE,,,N,1.365466,103.882156
TEMBELING TERRACES,,,N,1.352083,103.819836
LILAC PARK,,,N,1.381825,103.862152
LOYANG GROVE,,,N,1.372122,103.972845
FERNWOOD TERRACE,,,N,1.309664,103.924605
GUAN SOON TERRACE,,,N,1.337883,103.953621
GUAN SOON VILLAS,,,N,1.337883,103.953621
SARINA TERRACE,,,N,1.31963,103.907758
TEMBELING VILLAS,,,N,1.310531,103.902828
CHUAN VILLE,,,N,1.361889,103.866865
MIMOSA GARDENS,,,N,1.384124,103.862119
D'BELLA TERRACE,,,N,1.363894,103.885843
LYNWOOD EIGHT,,,N,1.345046,103.862988
GAO MIN HUA YUAN,,,N,1.352083,103.819836
DUKE'S GARDEN,,,N,1.322997,103.812336
WOODGROVE ESTATE,,,N,1.427674,103.780691
UNIVERSITY PARK,,,N,1.324149,103.817643
KIM LIN PARK,,,N,1.328683,103.906971
FOH PIN GARDEN,,,N,1.352083,103.819836
CHANCERY HILL VILLAS,Distinct Home (Chancery) Pte Ltd,Chancery Hill Road,N,1.324013,103.839063
SPRINGDEW TERRACE,,,N,1.352083,103.819836
NANYANG PARK,,,N,1.350597,103.685774
SEA BREEZE TERRACE,,,N,1.337471,103.95271
PRINCESS OF WALES PARK,,,N,1.323369,103.80813
JADE VINE GARDENS,,,N,1.352083,103.819836
GREEN SPRINGS,,,N,1.281169,103.84362
DA SILVA VILLAS,,,N,1.364192,103.883025
COTSWOLD VILLAS,,,N,1.347478,103.861532
GRYPHON TERRACE,,,N,1.352083,103.819836
LOYANG GREEN,,,N,1.372122,103.972845
WESTPEAK TERRACE,,,N,1.352083,103.819836
PICARDY GARDENS,,,N,1.333945,103.948884
SELETAR VIEW,Sun Fong Land Pte Ltd,Seletar Hills Drive,N,1.411907,103.870067
BRIZAY PARK,,,N,1.331315,103.786828
SEMBAWANG SQUARE ESTATE,,,N,1.432256,103.826753
TREVOSE 12,,,N,1.323255,103.821001
FARRER GARDENS,,,N,1.317494,103.807725
GPL TERRACE,,,N,1.352083,103.819836
KING'S 8,,,N,1.32279,103.810343
DUBLIN LODGE,,,N,1.352083,103.819836
CENTURION RESIDENCES,,,N,1.352083,103.819836
SANDERIANA,,,N,1.352083,103.819836
SOMMERVILLE RESIDENCES,,,N,1.352083,103.819836
VILLAS LA VUE,,,N,1.352083,103.819836
SERENADE GARDENS,,,N,1.379386,103.834679
MONTCLAIR @ WHITLEY,,,N,1.352083,103.819836
ONE CHILTERN,,,N,1.348479,103.860974
GERALD GARDENS,,,N,1.38419,103.877335
LORNIE 18,,,N,1.338374,103.819717
KILBURN ESTATE,,,N,1.352083,103.819836
THE MORNING DEW,,,N,1.352083,103.819836
DUNSFOLD 18,,,N,1.347269,103.860749
MCMAHON PARK,,,N,1.352083,103.819836
SERANGOON GARDEN VIEW,,,N,1.363707,103.866381
HIGHLAND RESIDENCES,,,N,1.352083,103.819836
CASA FIDELIO,,,N,1.352083,103.819836
DRAGON VIEW PARK,,,N,1.352083,103.819836
LA SALLE VILLAS,,,N,1.318588,103.919125
MOSELLA,,,N,1.352083,103.819836
LINK RESIDENCE @ HOLLAND,,,N,1.352083,103.819836
SIGLAP GARDEN,,,N,1.311689,103.925149
SHEPHERD'S HILL ESTATE,,,N,1.291716,103.806552
MONT TIMAH,,,N,1.314532,103.785042
HERITAGE 9,,,N,1.324022,103.845493
BREEZEWAYS,,,N,1.352083,103.819836
COASTAL VILLAS,,,N,1.305226,103.923256
CAIFU VIEW,,,N,1.352083,103.819836
RIA TOWNHOUSES,,,N,1.276528,103.792592
FORTUNA GARDENS,,,N,1.352083,103.819836
THE SHORELINE RESIDENCES II,,,N,1.352083,103.819836
ENG KONG GREEN,,,N,1.335627,103.76963
BELLAVILLE,,,N,1.352083,103.819836
THE SHORELINE RESIDENCES I,,,N,1.352083,103.819836
WESTSIDE 33,,,N,1.352083,103.819836
GOVT CO0OP HOUSING ESTATE,,,N,1.352083,103.819836
ASTON GREEN,,,N,1.352083,103.819836
HAPPY PARK,,,N,1.375896,103.832404
BEDOKVILLE,,,N,1.326638,103.951137
BANYAN VILLAS,,,N,1.388289,103.838717
GEYLANG HERITAGE,,,N,1.313144,103.887505
THE HILLOFT,,,N,1.352083,103.819836
HUIT,,,N,1.352083,103.819836
GRACE PARK,,,N,1.357482,103.869683
FLORENCE GROVE,,,N,1.361802,103.886077
SANDILANDS RESIDENCES,,,N,1.352083,103.819836
TUDOR TEN,,,N,1.326669,103.820062
CARMINE COLLECTION,,,N,1.352083,103.819836
EASTREES,,,N,1.352083,103.819836
LORNIE GARDENS,,,N,1.34106,103.828629
SEAVIEW PARK,,,N,1.300277,103.896426
THE WOODS,,,N,1.351266,103.698472
MAYFLOWER VILLE,,,N,1.352083,103.819836
THE SILVA GARDENS,,,N,1.364106,103.883266
EASTWOOD GARDENS,,,N,1.321395,103.956048
BENA PARK,,,N,1.354152,103.969028
BINJAI PARK,,,N,1.339519,103.787636
DAISY PARK,,,N,1.344158,103.867378
SPRINGBROOK TERRACE,,,N,1.352083,103.819836
CHISELHURST GREEN,,,N,1.358161,103.865782
SILAHIS VILLE,,,N,1.323665,103.909784
KEW GROVE,,,N,1.318647,103.949872
RESIDENCES @ STANGEE,,,N,1.352083,103.819836
INGGU 6,,,N,1.460895,103.838589
NEW SOO CHOW GARDENS,,,N,1.353878,103.831226
MARGATE TERRACE,,,N,1.298021,103.88863
POH HUAT GARDENS,,,N,1.36653,103.882246
PINE VILLAS,,,N,1.308108,103.882958
WASHINGTONIA VILLA,,,N,1.352083,103.819836
PALM GROVE TERRACE,,,N,1.360457,103.879502
VILLAS AT KEW,,,N,1.352083,103.819836
CHUAN SEVEN,,,N,1.359457,103.867808
RIDGEVALE GARDENS,,,N,1.352083,103.819836
CHESTER PARK,,,N,1.366584,103.864022
REBECCA PARK,,,N,1.320788,103.800737
TANAH MERAH PARK,,,N,1.32564,103.972212
TAI PENG GARDENS,,,N,1.282372,103.831091
DUCHESS PLACE,,,N,1.324986,103.802075
EAST VIEW PARK,,,N,1.359532,103.763823
RICHMOND VILLE,,,N,1.352083,103.819836
HILLSGROVE,Sun Fong Realty Pte Ltd,Hillside Drive,N,1.352083,103.819836
RESIDENCES @ NOVENA,,,N,1.32287,103.842879
SUMMIT VILLE,,,N,1.352083,103.819836
CHARLTON RESIDENCES,,,N,1.352083,103.819836
LUSHAN GARDEN,,,N,1.352083,103.819836
EVERGREEN GARDEN,,,N,1.315132,103.934549
8 ON CHUAN,,,N,1.352083,103.819836
BOON GARDENS,,,N,1.344318,103.72704
THE WESTRIDGE,,,N,1.277595,103.790194
DAISY PETALS,,,N,1.352083,103.819836
MIMOSA PARK,,,N,1.384262,103.862884
CAIRNHILL CONSERVATION AREA,,,N,1.352083,103.819836
WHITLEY VILLAS,,,N,1.327113,103.840575
REGINA HILL,,,N,1.352083,103.819836
D'ELIAS,,,N,1.352083,103.819836
VICTORIA PARK,,,N,1.320218,103.802953
ALLAMANDA GROVE,,,N,1.322709,103.794021
CLYDESCOVE,,,N,1.352083,103.819836
CASA NALLUR,,,N,1.352083,103.819836
LA BELLE,,,N,1.351639,103.874416
KEW PLACE,,,N,1.318647,103.949872
MIRAMAR GARDENS,,,N,1.352083,103.819836
THE PRESTIGE COLLECTION,,,N,1.352083,103.819836
GOLDLEAF GARDENS,,,N,1.352083,103.819836
HAI SING PARK,,,N,1.365769,103.893446
HARVEY VIEW,,,N,1.339591,103.953953
ZEPHYR PARK,,,N,1.352083,103.819836
LOWLAND VIEW,,,N,1.361446,103.883249
HAPPY GARDENS,,,N,1.33027,103.88149
GREENWOOD VILLAS,,,N,1.334482,103.805153
BRIGHT GARDEN,,,N,1.362,103.835491
HUA GUAN GARDENS,,,N,1.337919,103.785202
TUDOR VIEW,,,N,1.326881,103.819715
LAKEVIEW GARDENS,,,N,1.348667,103.835485
SPRINGLEAF GREEN,,,N,1.400473,103.824643
PHILLIPS RESIDENCE,,,N,1.352083,103.819836
PROSPER GARDENS,,,N,1.352083,103.819836
SENG HUA GARDENS,,,N,1.337919,103.785202
EWART PARK,,,N,1.32392,103.783901
SERANGOON GARDEN PARK,,,N,1.363707,103.866381
NORTHILL,,,N,1.464933,103.82636
RESIDENCES @ LIMAU,,,N,1.352083,103.819836
SIMON TERRACE,,,N,1.364812,103.88375
ROBIN VILLAGE,,,N,1.316617,103.827788
SEASONS VIEW,,,N,1.352215,103.840878
NORTH PARK RESIDENCES,North Gem Development Pte Ltd/FC North Gem Trustee Pte Ltd,Yishun Central 1,N,1.464933,103.82636
SIMS URBAN OASIS,Sims Urban Oasis Pte Ltd,Sims Drive,N,1.352083,103.819836
THE LAKESHORE,,,N,1.249552,103.83771
EASTPOINT GREEN,,,N,1.352083,103.819836
BOTANIQUE AT BARTLEY,UOL Development (Bartley) Pte Ltd,Upper Paya Lebar Road,N,1.352083,103.819836
BOTANIC GARDENS MANSION,,,N,1.352083,103.819836
ROBERTSON 100,,,N,1.291378,103.838073
LAKEVILLE,MCL Land (Prestige) Pte Ltd,Jurong Lake Link,N,1.352083,103.819836
THE TRILINQ,Clementi Development Pte Ltd,Jalan Lempeng,N,1.352083,103.819836
EMERALD PARK,,,N,1.302076,103.838516
SOPHIA HILLS,Hoi Hup Sunway Mount Sophia Pte Ltd,Mount Sophia,N,1.352083,103.819836
THE WOODGROVE,,,N,1.352083,103.819836
E0SPACE,,,N,1.352083,103.819836
LE WILKIE,,,N,1.352083,103.819836
COCO PALMS,Hong Realty Pte Ltd,Pasir Ris Grove,N,1.352083,103.819836
KERRISDALE,,,N,1.313279,103.85796
THE STELLAR,,,N,1.352083,103.819836
THE QUINN,Bartley Homes Pte Ltd,Bartley Road,N,1.352083,103.819836
NEWTON 21,,,N,1.314716,103.840685
THE PANORAMA,Pinehill Investments Pte Ltd,Ang Mo Kio Avenue 2,N,1.28299,103.848511
ROSALIA PARK,,,N,1.352083,103.819836
TRIBECA,,,N,1.291079,103.834533
JADE RESIDENCES,Roxy Residential Pte Ltd,Lew Lian Vale,N,1.352083,103.819836
NEEM TREE,Aylesbury Pte Ltd,Jalan Kemaman,N,1.352083,103.819836
CHILTERN PARK,,,N,1.348935,103.863468
SOPHIA RESIDENCE,,,N,1.352083,103.819836
VERSAILLES,,,N,1.312008,103.890357
LEGENDA AT JOO CHIAT,,,N,1.352083,103.819836
THE SORRENTO,,,N,1.352083,103.819836
SUFFOLK PREMIER,,,N,1.352083,103.819836
SEVENTY SAINT PATRICK'S,UOL Development (St Patrick) Pte Ltd,St. Patrick's Road,N,1.352083,103.819836
TRILIVE,RH Tampines Pte Ltd,Tampines Road,N,1.352083,103.819836
AQUARIUS BY THE PARK,,,N,1.352083,103.819836
RESIDENCES @ KILLINEY,,,N,1.352083,103.819836
VIENTO,,,N,1.352083,103.819836
CITIGATE RESIDENCE,,,N,1.352083,103.819836
ECO SANCTUARY,S P Setia International (S) Pte Ltd,Chestnut Avenue,N,1.352083,103.819836
SYMPHONY SUITES,EL Development (Yishun) Pte Ltd,Yishun Close,N,1.352083,103.819836
THE MAYFAIR,,,N,1.352083,103.819836
CLUNY PARK RESIDENCE,Shelford Properties Pte Ltd,Cluny Park Road,N,1.352083,103.819836
FORTUNE JADE,,,N,1.352083,103.819836
COMMONWEALTH TOWERS,Wealthall Development Pte Ltd,Commonwealth Avenue,N,1.352083,103.819836
SHERWOOD CONDOMINIUM,,,N,1.352083,103.819836
THE SANCTUARY @ GEYLANG,1L30G Pte Ltd,Lorong 30 Geylang,N,1.320054,103.891775
ASTOR GREEN,,,N,1.352083,103.819836
VUE 8 RESIDENCE,Publique Realty (Pasir Ris) Pte Ltd,Pasir Ris Heights,N,1.352083,103.819836
DUCHESS CREST,,,N,1.323288,103.807159
LION TOWERS,,,N,1.316578,103.845309
REZI 3TWO,Development 32 Pte Ltd,Lorong 32 Geylang,N,1.352083,103.819836
SKIES MILTONIA,TG Master Pte Ltd,Miltonia Close,N,1.352083,103.819836
91 MARSHALL,,,N,1.306552,103.901119
D'LOTUS,,,N,1.326176,103.853537
JEWEL @ BUANGKOK,White Haven Properties Pte Ltd,Compassvale Bow,N,1.352083,103.819836
THE METROPOLITAN CONDOMINIUM,,,N,1.352083,103.819836
FLORAVIEW,Oxley YCK Pte Ltd,Ang Mo Kio Street 66,N,1.357133,103.965079
GRANDEUR 8,,,N,1.352083,103.819836
EVERGREEN VIEW,,,N,1.315132,103.934549
EUNOS MANSION,,,N,1.329867,103.905612
HILLSIDE MANSIONS,,,N,1.358464,103.877311
THE ARISTO @ AMBER,AG Capital Pte Ltd,Amber Road,N,1.352083,103.819836
E MAISON,Global Star Development Pte Ltd,Braddell Road,N,1.352083,103.819836
R MAISON,Global Star Development Pte Ltd,Sommerville Walk,N,1.352083,103.819836
HARBOUR VIEW TOWERS,,,N,1.264822,103.818219
PEOPLE'S PARK CENTRE,,,N,1.352083,103.819836
GAIA,,,N,1.327875,103.843727
# 1 SUITES,The One Development Pte Ltd,Lorong 20 Geylang,N,1.303808,103.838337
THE IMPERIAL,,,N,1.352083,103.819836
FABER GARDEN CONDOMINIUM,,,N,1.352083,103.819836
SUITES @ SHREWSBURY,,,N,1.352083,103.819836
ESTELLA GARDENS,,,N,1.352083,103.819836
PARC MONDRIAN,,,N,1.352083,103.819836
THE ACACIAS,,,N,1.352083,103.819836
KATONG PARK TOWERS,,,N,1.299665,103.888135
V ON SHENTON,UIC Investments (Properties) Pte Ltd,Shenton Way,N,1.277908,103.84966
TREASURE LOFT,,,N,1.352083,103.819836
CUSCADEN ROYALE,,,N,1.352083,103.819836
NIM GARDENS,,,N,1.38265,103.863797
WATTEN HILL,,,N,1.32863,103.809368
ONE TREE HILL RESIDENCE,,,N,1.352083,103.819836
THE EDGE ON CAIRNHILL,,,N,1.352083,103.819836
ALEX RESIDENCES,Singland Homes (Alexandra) Pte Ltd,Alexandra View,N,1.352083,103.819836
MAYFAIR GARDENS,,,N,1.352083,103.819836
TANAH MERAH MANSION,,,N,1.352083,103.819836
EAST VIEW,,,N,1.359532,103.763823
MEDGE,,,N,1.352083,103.819836
VIDA,,,N,1.308895,103.838905
111 EMERALD HILL,,,N,1.305099,103.839199
ST PATRICK'S GREEN,,,N,1.352083,103.819836
WING FONG COURT,,,N,1.311324,103.879321
EUPHONY GARDENS,,,N,1.352083,103.819836
PARC VISTA,,,N,1.277721,103.850878
BAYVILLE CONDOMINIUM,,,N,1.352083,103.819836
NINETEEN SHELFORD ROAD,,,N,1.32667,103.811642
CASA ESPANIA,,,N,1.352083,103.819836
THE TENNERY,,,N,1.352083,103.819836
STARLIGHT SUITES,,,N,1.352083,103.819836
DUNEARN GARDENS,,,N,1.325781,103.808567
WILKIE 80,,,N,1.303097,103.847674
THE MAYLEA,,,N,1.352083,103.819836
PALISADES,,,N,1.286893,103.779765
SPRING GROVE,,,N,1.281169,103.84362
RESIDENCES AT 338A,,,N,1.24951,103.824412
ORCHID PARK CONDOMINIUM,,,N,1.412497,103.835257
AXIS @ SIGLAP,,,N,1.352083,103.819836
REGENT GROVE,,,N,1.403684,103.86719
RICCHEZZA,,,N,1.352083,103.819836
BURLINGTON SQUARE,,,N,1.301382,103.852526
PARADISE PALMS,,,N,1.352083,103.819836
FABER CREST,,,N,1.318825,103.758783
DORSETT RESIDENCES,,,N,1.280019,103.840502
RIVERBANK @ FERNVALE,UOL Development (Sengkang) Pte Ltd,Fernvale Close,N,1.352083,103.819836
SPRINGDALE CONDOMINIUM,,,N,1.352083,103.819836
EVANIA,,,N,1.352083,103.819836
TANGLIN REGENCY,,,N,1.291856,103.816299
VIVA VISTA,Hume Homes Pte Ltd,South Buona Vista Road,N,1.352083,103.819836
SPRINGVALE,,,N,1.312505,103.925025
ONE0NORTH RESIDENCES,,,N,1.314847,103.90529
IVORY HEIGHTS,,,N,1.352083,103.819836
