Name	X	Y	geo	Address	Website	Rooms	type
"Capella Hotel, Singapore"	103.8243782	1.249482971	"103.8243782,1.249482971"	1 The Knolls	http://www.capellasingapore.com	112	M
Goodwood Park Hotel	103.8341091	1.30822215	"103.8341091,1.30822215"	22 Scotts Road	http://www.goodwoodparkhotel.com	233	M
Hilton Singapore	103.8293149	1.305879028	"103.8293149,1.305879028"	581 Orchard Road	http://www.singapore.hilton.com	421	L
Marina Bay Sands Singapore	103.8581206	1.282202175	"103.8581206,1.282202175"	1 Bayfront Avenue	http://www.marinabaysands.com	2560	L
"Swissotel The Stamford, Singapore"	103.8533288	1.293274791	"103.8533288,1.293274791"	2 Stamford Road	http://www.swissotel.com/hotels/singapore-stamford/	1261	L
Mandarin Orchard Singapore	103.836341	1.302064514	"103.836341,1.302064514"	333 Orchard Road	http://www.meritushotels.com	1077	L
Carlton Hotel	103.8525189	1.295926453	"103.8525189,1.295926453"	76 Bras Basah Road	http://www.carltonhotel.sg	940	L
V Hotel Bencoolen	103.8507632	1.29894387	"103.8507632,1.29894387"	48 Bencoolen Street	http://www.vhotel.sg	270	M
Pan Pacific Orchard	103.8298879	1.307388241	"103.8298879,1.307388241"	10 Claymore Road	http://www.panpacific.com/orchard.html	206	M
Fairmont Singapore	103.8539661	1.294004299	"103.8539661,1.294004299"	80 Bras Basah Road	http://www.fairmont.com/singapore	769	L
Shangri-La Hotel	103.8267568	1.311247411	"103.8267568,1.311247411"	22 Orange Grove Road	http://www.shangri-la.com	747	L
Grand Hyatt Singapore	103.8332833	1.30634534	"103.8332833,1.30634534"	10 Scotts Road	http://www.singapore.grand.hyatt.com	677	L
Orchard Hotel Singapore	103.8281644	1.307668615	"103.8281644,1.307668615"	442 Orchard Road	http://www.millenniumhotels.com.sg	656	L
Furama Riverfront Singapore	103.8360928	1.287634548	"103.8360928,1.287634548"	405 Havelock Road	http://www.furama.com/riverfront/	605	L
Peninsula.Excelsior Hotel	103.8498204	1.291945931	"103.8498204,1.291945931"	5 Coleman Street	http://www.ytchotels.com.sg	600	L
Marina Mandarin	103.8570073	1.291455268	"103.8570073,1.291455268"	6 Raffles Boulevard Marina Square	http://www.meritushotels.com/marina-mandarin-singapore/	575	L
Grand Copthorne Waterfront Hotel Singapore	103.835148	1.290281942	"103.835148,1.290281942"	392 Havelock Road	http://www.grandcopthorne.com.sg	574	L
Grand Mercure Roxy Hotel	103.9040511	1.304326009	"103.9040511,1.304326009"	50 East Coast Road	http://www.grandmercureroxy.com.sg	576	L
Ibis Singapore on Bencoolen	103.8524227	1.300963179	"103.8524227,1.300963179"	170 Bencoolen Street	http://www.ibishotel.com/6557	538	L
PARKROYAL on Kitchener Road	103.8556574	1.310530254	"103.8556574,1.310530254"	181 Kitchener Road	http://www.parkroyalhotels.com	534	L
"Mandarin Oriental, Singapore"	103.858324	1.290660596	"103.858324,1.290660596"	5 Raffles Avenue Marina Square		527	L
Conrad Centennial Singapore	103.8587748	1.293525048	"103.8587748,1.293525048"	2 Temasek Boulevard		507	L
Holiday Inn Singapore Atrium	103.8340683	1.2890702	"103.8340683,1.2890702"	317 Outram Road	http://www.holiday-inn.com/atrium-sin	512	L
Royal Plaza	103.8314458	1.307089333	"103.8314458,1.307089333"	25 Scotts Road	http://www.royalplaza.com.sg	511	L
"Four Points by Sheraton Singapore, Riverview"	103.8366038	1.289371	"103.8366038,1.289371"	382 Havelock Road	http://www.fourpointssingaporeriverview.com	476	L
"Swissotel Merchant Court,Singapore"	103.8456923	1.28821803	"103.8456923,1.28821803"	20 Merchant Road	http://www.swissotel.com/singapore-merchantcourt	476	L
